en,nl,description,file,hash
Notes,Opmerkingen,,site/modules/Ichiban/Ichiban.module.php,f4c6f851b00d5518bf888815de279aba
Website & Identity,Website & Identiteit,,site/modules/Ichiban/Ichiban.module.php,5f31fa0e425153f2d3ecb9c2d7f21a2d
Moved to Website,Verplaatst naar Website,,site/modules/Ichiban/Ichiban.module.php,4e16d56399d1c0e0725c995fa6414179
"Brand, contact, social profile, and Schema.org identity settings now live in the Website tab so global site facts are edited in one place.","Merk-, contact-, sociaal profiel- en Schema.org-identiteitsinstellingen zijn nu beschikbaar op het tabblad Website, zodat algemene sitegegevens op één plek worden bewerkt.",,site/modules/Ichiban/Ichiban.module.php,b3c2c2c1cba8d3fb26eef538c43b65ea
Open Website Settings,Open Website-instellingen,,site/modules/Ichiban/Ichiban.module.php,3e23181983fd8c730ed855214f9ccd9e
Defaults,Standaardinstellingen,,site/modules/Ichiban/Ichiban.module.php,0aabf727ab0a83c5f5d078e8b18445e0
"JSON defaults are resolved before page-level values. Use field:title, field:summary|truncate:160, custom text, or inherit.","JSON-standaardwaarden worden opgelost vóór waarden op paginaniveau. Gebruik veld:titel, veld:samenvatting|afkappen:160, aangepaste tekst of overnemen.",,site/modules/Ichiban/Ichiban.module.php,33bdc3ae43a21121f7dce26d5197dd44
Global defaults JSON,Algemene standaardwaarden JSON,,site/modules/Ichiban/Ichiban.module.php,53e3b5312941b09573dc3f9186159072
Template defaults JSON,Sjabloonstandaard JSON,,site/modules/Ichiban/Ichiban.module.php,5115e3fe37e3ad25f334f010f8c5b38e
"Use typed source values like field:title, field:summary|truncate:160, custom text, or inherit.","Gebruik getypte bronwaarden zoals field:title, field:summary|truncate:160, aangepaste tekst of overnemen.",,site/modules/Ichiban/Ichiban.module.php,82ccb8f28eb5731a03cf696ad3f72648
Rendering,Weergave,,site/modules/Ichiban/Ichiban.module.php,a6e8f9aed2ac6481dc25a18a33342d03
By default Ichiban only renders tags when your template outputs $page->seo. Automatic injection is opt-in.,Standaard geeft Ichiban alleen tags weer als uw sjabloon $page->seo uitvoert. Automatische injectie is opt-in.,,site/modules/Ichiban/Ichiban.module.php,fb1b9b3b0133275b95ccaf96bd704d4a
Automatically inject SEO tags into page <head>,Automatisch SEO-tags in pagina <head> injecteren,,site/modules/Ichiban/Ichiban.module.php,55e90fc94d051339268c8cea22d211ff
Enable only if your templates do not output $page->seo.,Alleen inschakelen als uw sjablonen geen $page->seo uitvoeren.,,site/modules/Ichiban/Ichiban.module.php,83d3719feac098415326b3ef32ef1fb2
Title Format,Titelformaat,,site/modules/Ichiban/Ichiban.module.php,0c21f0be6bc0d9e2fa13c59acfa65223
"Optionally format the rendered <title>. Use {meta_title} for the resolved page title, for example {meta_title} | {site_name}. Leave blank to render the title unchanged.","Formatteer eventueel de weergegeven <title>. Gebruik {meta_title} voor de opgeloste paginatitel, bijvoorbeeld {meta_title} | {site_name}. Laat dit leeg om de titel ongewijzigd te laten.",,site/modules/Ichiban/Ichiban.module.php,9d60b7ae07e266ce90621e229f337618
"Supported placeholders: {meta_title}, {site_name}, {entity_name}, {host}. Title length checks include this format.","Ondersteunde tijdelijke aanduidingen: {meta_title}, {site_name}, {entity_name}, {host}. Controles van de titellengte omvatten dit formaat.",,site/modules/Ichiban/Ichiban.module.php,08debe1ddbe5e86837f27f89a8b4c15d
Render hreflang alternate links,Geef hreflang alternatieve links weer,,site/modules/Ichiban/Ichiban.module.php,dd27ad837fa55751efc91ce4322806d2
