en,lv,description,file,hash
Notes,Piezīmes,,site/modules/Ichiban/Ichiban.module.php,f4c6f851b00d5518bf888815de279aba
Website & Identity,Vietne un identitāte,,site/modules/Ichiban/Ichiban.module.php,5f31fa0e425153f2d3ecb9c2d7f21a2d
Moved to Website,Pārvietots uz vietni,,site/modules/Ichiban/Ichiban.module.php,4e16d56399d1c0e0725c995fa6414179
"Brand, contact, social profile, and Schema.org identity settings now live in the Website tab so global site facts are edited in one place.","Zīmola, kontaktpersonu, sociālā profila un Schema.org identitātes iestatījumi tagad atrodas cilnē Vietne, tāpēc vietņu globālie fakti tiek rediģēti vienuviet.",,site/modules/Ichiban/Ichiban.module.php,b3c2c2c1cba8d3fb26eef538c43b65ea
Open Website Settings,Atveriet Vietnes iestatījumi,,site/modules/Ichiban/Ichiban.module.php,3e23181983fd8c730ed855214f9ccd9e
Defaults,Noklusējumi,,site/modules/Ichiban/Ichiban.module.php,0aabf727ab0a83c5f5d078e8b18445e0
"JSON defaults are resolved before page-level values. Use field:title, field:summary|truncate:160, custom text, or inherit.","JSON noklusējuma vērtības tiek atrisinātas pirms lapas līmeņa vērtībām. Izmantojiet field:title, field:summary|truncate:160, pielāgotu tekstu vai mantojiet.",,site/modules/Ichiban/Ichiban.module.php,33bdc3ae43a21121f7dce26d5197dd44
Global defaults JSON,Globālie noklusējuma iestatījumi JSON,,site/modules/Ichiban/Ichiban.module.php,53e3b5312941b09573dc3f9186159072
Template defaults JSON,Veidnes noklusējuma iestatījumi JSON,,site/modules/Ichiban/Ichiban.module.php,5115e3fe37e3ad25f334f010f8c5b38e
"Use typed source values like field:title, field:summary|truncate:160, custom text, or inherit.","Izmantojiet drukātas avota vērtības, piemēram, lauks:nosaukums, lauks:summary|saīsināt:160, pielāgotu tekstu vai mantot.",,site/modules/Ichiban/Ichiban.module.php,82ccb8f28eb5731a03cf696ad3f72648
Rendering,Renderēšana,,site/modules/Ichiban/Ichiban.module.php,a6e8f9aed2ac6481dc25a18a33342d03
By default Ichiban only renders tags when your template outputs $page->seo. Automatic injection is opt-in.,"Pēc noklusējuma Ichiban atveido tagus tikai tad, kad jūsu veidne izvada $page->seo. Automātiskā iesmidzināšana ir izvēles iespēja.",,site/modules/Ichiban/Ichiban.module.php,fb1b9b3b0133275b95ccaf96bd704d4a
Automatically inject SEO tags into page <head>,Automātiski ievadiet SEO tagus lapā <head>,,site/modules/Ichiban/Ichiban.module.php,55e90fc94d051339268c8cea22d211ff
Enable only if your templates do not output $page->seo.,"Iespējot tikai tad, ja jūsu veidnes neizvada $page->seo.",,site/modules/Ichiban/Ichiban.module.php,83d3719feac098415326b3ef32ef1fb2
Title Format,Virsraksta formāts,,site/modules/Ichiban/Ichiban.module.php,0c21f0be6bc0d9e2fa13c59acfa65223
"Optionally format the rendered <title>. Use {meta_title} for the resolved page title, for example {meta_title} | {site_name}. Leave blank to render the title unchanged.","Pēc izvēles formatējiet renderēto <title>. Izmantojiet {meta_title} atrisinātajam lapas nosaukumam, piemēram, {meta_title} | {site_name}. Atstājiet tukšu, lai padarītu virsrakstu nemainītu.",,site/modules/Ichiban/Ichiban.module.php,9d60b7ae07e266ce90621e229f337618
"Supported placeholders: {meta_title}, {site_name}, {entity_name}, {host}. Title length checks include this format.","Atbalstītie vietturi: {meta_title}, {site_name}, {entity_name}, {host}. Virsraksta garuma pārbaudes ietver šo formātu.",,site/modules/Ichiban/Ichiban.module.php,08debe1ddbe5e86837f27f89a8b4c15d
Render hreflang alternate links,Renderējiet hreflang alternatīvās saites,,site/modules/Ichiban/Ichiban.module.php,dd27ad837fa55751efc91ce4322806d2
Disable this when ProcessWire languages are used internally but the public site should not advertise language alternates.,"Atspējojiet to, ja iekšēji tiek izmantotas ProcessWire valodas, taču publiskajā vietnē nevajadzētu reklamēt valodas alternatīvas.",,site/modules/Ichiban/Ichiban.module.php,a0f50a879725bc755d76fcc71dbebc9c
Render JSON-LD schema,Renderēt JSON-LD shēmu,,site/modules/Ichiban/Ichiban.module.php,093f286865020e6e4762d54b968f4e18
Disable this when templates or another module generate custom structured data.,"Atspējojiet to, ja veidnes vai cits modulis ģenerē pielāgotus strukturētus datus.",,site/modules/Ichiban/Ichiban.module.php,4c61b25b55b63f2ab8fa34b40ae0d612
Webmaster Verification,Tīmekļa pārziņa verifikācija,,site/modules/Ichiban/Ichiban.module.php,e16aace7feb4c4c815b9f9acbf072815
Verification tags and Meta Pixel are rendered on the home page only. Google Search Console verification is intentionally omitted here because current Google setup should use DNS TXT or CNAME verification.,"Verifikācijas atzīmes un metapikseļi tiek atveidoti tikai sākumlapā. Google Search Console verifikācija šeit ir apzināti izlaista, jo pašreizējiem Google iestatījumiem ir jāizmanto DNS TXT vai CNAME verifikācija.",,site/modules/Ichiban/Ichiban.module.php,a9c50cdbf2ad228624b2017ab78c7438
"Microsoft Bing, Yahoo, and DuckDuckGo visibility often starts from Bing Webmaster Tools.","Microsoft Bing, Yahoo un DuckDuckGo redzamība bieži sākas no Bing Webmaster Tools.",,site/modules/Ichiban/Ichiban.module.php,fbe1774e9a77f9f92b4b96bf4c64585a
Yandex meta verification token.,Yandex meta verifikācijas marķieris.,,site/modules/Ichiban/Ichiban.module.php,76f540135e80a474de70e3583a54dc45
China: renders baidu-site-verification meta tag.,Ķīna: atveido baidu-site-verification metatagu.,,site/modules/Ichiban/Ichiban.module.php,a95ed1f87dde1518d8b49008ebb77dbb
China: renders sogou_site_verification meta tag.,Ķīna: atveido metatagu sogou_site_verification.,,site/modules/Ichiban/Ichiban.module.php,9d4aa8d584f94eac913b6201afac6730
China: renders 360-site-verification meta tag.,Ķīna: renderē 360 vietņu verifikācijas metatagu.,,site/modules/Ichiban/Ichiban.module.php,d0a0430a9f737934f21aa4303c7edab1
Pinterest domain verification token.,Pinterest domēna verifikācijas marķieris.,,site/modules/Ichiban/Ichiban.module.php,eacbd24ca94cad724c6f391d472638ba
Meta domain verification token.,Meta domēna verifikācijas marķieris.,,site/modules/Ichiban/Ichiban.module.php,db13ec584f9633e6751535d17824e79e
Numeric Pixel ID. Renders the standard PageView pixel on the home page.,Ciparu pikseļa ID. Atveido standarta PageView pikseļu sākumlapā.,,site/modules/Ichiban/Ichiban.module.php,9219a1dab2e3eebf88becf2f14e80d01
Additional verification meta tags,Papildu verifikācijas metatagi,,site/modules/Ichiban/Ichiban.module.php,e7d88f3cf0b8b671959e10fe014e8fd2
One per line as meta-name=token. Use for regional tools that provide a meta verification tag.,"Viena katrā rindā kā meta-name=token. Izmantojiet reģionālajiem rīkiem, kas nodrošina meta verifikācijas tagu.",,site/modules/Ichiban/Ichiban.module.php,76f0c578ce00ff37d7e990f91b0953d3
Example: example-site-verification=abc123. Only simple meta names are rendered.,Piemērs: example-site-verification=abc123. Tiek atveidoti tikai vienkārši meta nosaukumi.,,site/modules/Ichiban/Ichiban.module.php,3cd39c0bf9c68bf909c01310e7dfa0ef
Google Search Console,Google Search Console,,site/modules/Ichiban/Ichiban.module.php,4243784eac7728b8e6339bdafe240e01
"Enable the Google Search Console API, create an OAuth Web application client, add this authorized redirect URI: %s, publish the OAuth app to production, then paste the Client ID and Client Secret below. Existing tokens are preserved when settings are saved.","Iespējojiet Google Search Console API, izveidojiet OAuth tīmekļa lietojumprogrammas klientu, pievienojiet šo autorizēto novirzīšanas URI: %s, publicējiet lietotni OAuth produkcijas versijā, pēc tam tālāk ielīmējiet klienta ID un klienta noslēpumu. Esošie marķieri tiek saglabāti, kad iestatījumi tiek saglabāti.",,site/modules/Ichiban/Ichiban.module.php,43a85ff63755f87a7ccd5056ba6c38c6
Connection status,Savienojuma statuss,,site/modules/Ichiban/Ichiban.module.php,1714ef7e843e7735ce68bebe872f33e5
Access token expires %s.,Piekļuves pilnvaras derīguma termiņš beidzas %s.,,site/modules/Ichiban/Ichiban.module.php,ba85dd89d299ed46b9c8a5948542f99c
Access token expired; refresh token is saved.,Piekļuves pilnvaras derīguma termiņš beidzies; atsvaidzināšanas pilnvara ir saglabāta.,,site/modules/Ichiban/Ichiban.module.php,f3802e32cd6d09d7c1af945c4f5943d6
Client ID saved,Klienta ID ir saglabāts,,site/modules/Ichiban/Ichiban.module.php,1de31a3258bc607d52b41ee216c7d72f
Client Secret saved,Klienta noslēpums ir saglabāts,,site/modules/Ichiban/Ichiban.module.php,42b44c19ef8327c019c9ad9f78d67aee
Google account connected,Google konts ir pievienots,,site/modules/Ichiban/Ichiban.module.php,d760203bbcc492353c8b31b14d9ffbf7
Open Insights,Atveriet Insights,,site/modules/Ichiban/Ichiban.module.php,7f1baa2a21ced2b2e130215f4bafd5f4
"Enter the Search Console domain, for example lqrs.uk. Ichiban will query it as a Domain property. You can still enter a URL-prefix property like https://example.com/ when needed.","Ievadiet domēnu Search Console, piemēram, lqrs.uk. Ichiban vaicās to kā domēna īpašumu. Ja nepieciešams, joprojām varat ievadīt rekvizītu URL prefiksu, piemēram, https://example.com/.",,site/modules/Ichiban/Ichiban.module.php,239ee60095ca0138f335744cf3894216
Examples: lqrs.uk or https://example.com/,Piemēri: lqrs.uk vai https://example.com/,,site/modules/Ichiban/Ichiban.module.php,c5841c295217e694ae9814ae1de70f4e
Backlinks / Moz API,Atpakaļsaites / Moz API,,site/modules/Ichiban/Ichiban.module.php,148a3c9e93041db9e3a92077aa62487a
"Moz Links API is used by the Backlinks section for inbound links, linking root domains, and anchor text. Use the new Moz API token when possible; legacy Access ID and Secret Key are only a fallback. Start with a small row limit to control monthly usage.","Moz saites API tiek izmantota atpakaļsaišu sadaļā ienākošajām saitēm, saknes domēnu saistīšanai un enkura tekstam. Ja iespējams, izmantojiet jauno Moz API marķieri; mantotais piekļuves ID un slepenā atslēga ir tikai rezerves. Sāciet ar nelielu rindu ierobežojumu, lai kontrolētu ikmēneša lietojumu.",,site/modules/Ichiban/Ichiban.module.php,3934fe34546dadc9006bc189343d76f2
Default target,Noklusējuma mērķis,,site/modules/Ichiban/Ichiban.module.php,b9fa8d034ac4e37eaf215fe66737b851
Moz API token,Moz API marķieris,,site/modules/Ichiban/Ichiban.module.php,607e064d5ce603ed00fcaf852c19c94b
Legacy Moz Access ID,Mantotais Moz piekļuves ID,,site/modules/Ichiban/Ichiban.module.php,9b8ce27d60235026df35f7d5cbca4530
Legacy Moz Secret Key,Mantotā Moz slepenā atslēga,,site/modules/Ichiban/Ichiban.module.php,c8ee8763358100831a05c85657874e72
Moz API base URL,Moz API pamatne URL,,site/modules/Ichiban/Ichiban.module.php,3a6253c05602eb8d3bd204c6116b429d
Rows per request,Rindas pēc pieprasījuma,,site/modules/Ichiban/Ichiban.module.php,ad470cb6dbb8dc939f06c96e7b0ab4fb
Used by the Backlinks preview tables.,Izmanto atpakaļsaišu priekšskatījuma tabulās.,,site/modules/Ichiban/Ichiban.module.php,7c7dd953919a36c2613a5cbdb05ce96c
Timeout (sec),Taimauts (s),,site/modules/Ichiban/Ichiban.module.php,ef8e3c27bc823b5dcf6164fb9f2823de
AI / Squad,AI / komanda,,site/modules/Ichiban/Ichiban.module.php,c7c967fe29ea975b52a568677d80d368
Ichiban uses Squad as the shared AI gateway. Configure provider keys in Squad; use these settings only for Ichiban request defaults and SEO-specific prompts.,Ichiban izmanto Squad kā kopīgu AI vārteju. Konfigurēt pakalpojumu sniedzēja atslēgas komandā Squad; izmantojiet šos iestatījumus tikai Ichiban pieprasījuma noklusējuma iestatījumiem un SEO specifiskām uzvednēm.,,site/modules/Ichiban/Ichiban.module.php,b3a60431fd7be7126e428a28f3bb08e5
Squad connection,Komandas savienojums,,site/modules/Ichiban/Ichiban.module.php,ce0a6805ed97e495b3871f250b469549
Squad is installed. Active providers: %s.,Squad ir uzstādīts. Aktīvie pakalpojumu sniedzēji: %s.,,site/modules/Ichiban/Ichiban.module.php,943cdceb5161ec2aaa0c8b7240c88ff5
Open Squad settings,Atveriet komandas iestatījumus,,site/modules/Ichiban/Ichiban.module.php,e5e25695970de11c7acbf3f901b7e249
Squad is not installed. Install and configure Squad before running Ichiban AI requests.,Komanda nav instalēta. Instalējiet un konfigurējiet Squad pirms Ichiban AI pieprasījumu izpildes.,,site/modules/Ichiban/Ichiban.module.php,1fd298f8ed650af1f1c7391b249df142
Enable AI features,Iespējot AI funkcijas,,site/modules/Ichiban/Ichiban.module.php,3148562cec18808d8b30b9ee29e0f94e
Allows the Ichiban AI workspace to send requests through Squad.,"Ļauj Ichiban AI darbvietai nosūtīt pieprasījumus, izmantojot Squad.",,site/modules/Ichiban/Ichiban.module.php,34ec0f579952dd1e0819805922d08722
Provider override,Pakalpojumu sniedzēja ignorēšana,,site/modules/Ichiban/Ichiban.module.php,c8b66ad23c12655d32b6e9b14a5d32fd
Leave empty to use the default provider selected in Squad.,"Atstājiet tukšu, lai izmantotu Squad atlasīto noklusējuma nodrošinātāju.",,site/modules/Ichiban/Ichiban.module.php,9c3aac1cd9f9352d12af87ccb7e38fb2
Squad default,Squad noklusējuma,,site/modules/Ichiban/Ichiban.module.php,379df8c2ecca7f514c9cf71e7f215a34
Model override,Modeļa ignorēšana,,site/modules/Ichiban/Ichiban.module.php,a90e17a4e9375a72a438a44c0a43e661
Optional. Leave empty to use the model configured on the active Squad key.,"Pēc izvēles. Atstājiet tukšu, lai izmantotu modeli, kas konfigurēts aktīvajā Squad taustiņā.",,site/modules/Ichiban/Ichiban.module.php,d46e25bd96a117a8661e6f8ffbb7fdad
Use a model ID supported by the selected Squad provider.,"Izmantojiet modeļa ID, ko atbalsta atlasītais komandas nodrošinātājs.",,site/modules/Ichiban/Ichiban.module.php,72d95b32af7e034bf92d02c480624d80
Max tokens,Maksimālais žetons,,site/modules/Ichiban/Ichiban.module.php,ebd6c027329f58c7a56ddb68035e623a
Temperature,Temperatūra,,site/modules/Ichiban/Ichiban.module.php,ee7a8e262285ed49ea1b4e4ae11525bd
"0 = deterministic, 1 = more creative.","0 = deterministisks, 1 = radošāks.",,site/modules/Ichiban/Ichiban.module.php,e9c19aa21f310410427aed8cf273ee5e
Global system prompt,Globālās sistēmas uzvedne,,site/modules/Ichiban/Ichiban.module.php,dc80dfae1022d8c1f3a4424589c3947f
Prepended to Ichiban AI requests before the mode-specific SEO prompt.,Pievienots Ichiban AI pieprasījumiem pirms režīmam raksturīgās SEO uzvednes.,,site/modules/Ichiban/Ichiban.module.php,ba50ae3d4e25aaf8e9f96f1b12597d8a
You are a helpful SEO assistant for ProcessWire websites.,Jūs esat noderīgs SEO palīgs ProcessWire vietnēm.,,site/modules/Ichiban/Ichiban.module.php,75146a303e87f5716fce1a6a506185cf
Publishing & URLs,Izdevniecība un URLs,,site/modules/Ichiban/Ichiban.module.php,86c81580cb61ca8b8b36e1eb8791e413
"IndexNow keys are simple verification strings, not keys from an account. Generate one here or use any 8-128 character key containing letters, numbers, and hyphens. A public key file named {key}.txt must exist at the site root and contain the key.","IndexNow atslēgas ir vienkāršas verifikācijas virknes, nevis atslēgas no konta. Izveidojiet to šeit vai izmantojiet jebkuru 8–128 rakstzīmju taustiņu, kas satur burtus, ciparus un defises. Publiskās atslēgas failam ar nosaukumu {key}.txt ir jābūt vietnes saknē un tajā ir jābūt atslēgai.",,site/modules/Ichiban/Ichiban.module.php,6ba02b19032039de34d471bc54d181ad
Current key file URL: %s,Pašreizējais atslēgas fails URL: %s,,site/modules/Ichiban/Ichiban.module.php,f3fa4b8b953f520859f0c214f66d9bae
Index Now API Key,Rādīt tagad API atslēga,,site/modules/Ichiban/Ichiban.module.php,cf092d7f265535840a7191bfcde56ce6
Used when Ichiban pings IndexNow after a public page is saved.,"Tiek izmantots, kad Ichiban ping IndexNow pēc publiskas lapas saglabāšanas.",,site/modules/Ichiban/Ichiban.module.php,b84b5ee761e789d69ce9c7be24f60152
Click Save to write/update the public key file if the site root is writable.,"Noklikšķiniet uz Saglabāt, lai rakstītu/atjauninātu publiskās atslēgas failu, ja vietnes sakne ir rakstāma.",,site/modules/Ichiban/Ichiban.module.php,d41067de431a8f0e6afc4d55afe9a674
Twitter/X Site Handle (global default),Twitter/X vietnes rokturis (globālais noklusējuma),,site/modules/Ichiban/Ichiban.module.php,ad9fdbcb00b1dd7da69fbcdf723973f4
Example: @example,Piemērs: @example,,site/modules/Ichiban/Ichiban.module.php,554f29fd1e15440cc34dbaa8a1b3cadc
URL segments in SEO URLs,URL segmenti SEO URLs,,site/modules/Ichiban/Ichiban.module.php,9556ac4044ecb6e06b7b429847b0a7ab
