en,mt,description,file,hash
Notes,Noti,,site/modules/Ichiban/Ichiban.module.php,f4c6f851b00d5518bf888815de279aba
Website & Identity,Websajt u Identità,,site/modules/Ichiban/Ichiban.module.php,5f31fa0e425153f2d3ecb9c2d7f21a2d
Moved to Website,Tċaqlaq għall-Websajt,,site/modules/Ichiban/Ichiban.module.php,4e16d56399d1c0e0725c995fa6414179
"Brand, contact, social profile, and Schema.org identity settings now live in the Website tab so global site facts are edited in one place.","Is-settings tal-marka, il-kuntatt, il-profil soċjali u l-identità ta’ Schema.org issa jgħixu fit-tab tal-Websajt sabiex il-fatti globali tas-sit jiġu editjati f’post wieħed.",,site/modules/Ichiban/Ichiban.module.php,b3c2c2c1cba8d3fb26eef538c43b65ea
Open Website Settings,Iftaħ is-Settings tal-Websajt,,site/modules/Ichiban/Ichiban.module.php,3e23181983fd8c730ed855214f9ccd9e
Defaults,Defaults,,site/modules/Ichiban/Ichiban.module.php,0aabf727ab0a83c5f5d078e8b18445e0
"JSON defaults are resolved before page-level values. Use field:title, field:summary|truncate:160, custom text, or inherit.","L-inadempjenzi JSON jiġu solvuti qabel il-valuri fil-livell tal-paġna. Uża field:title, field:summary|truncate:160, test personalizzat, jew wiret.",,site/modules/Ichiban/Ichiban.module.php,33bdc3ae43a21121f7dce26d5197dd44
Global defaults JSON,Inadempjenzi globali JSON,,site/modules/Ichiban/Ichiban.module.php,53e3b5312941b09573dc3f9186159072
Template defaults JSON,Template defaults JSON,,site/modules/Ichiban/Ichiban.module.php,5115e3fe37e3ad25f334f010f8c5b38e
"Use typed source values like field:title, field:summary|truncate:160, custom text, or inherit.","Uża valuri tas-sors ittajpjati bħal field:title, field:summary|truncate:160, test personalizzat, jew wiret.",,site/modules/Ichiban/Ichiban.module.php,82ccb8f28eb5731a03cf696ad3f72648
Rendering,Rendering,,site/modules/Ichiban/Ichiban.module.php,a6e8f9aed2ac6481dc25a18a33342d03
By default Ichiban only renders tags when your template outputs $page->seo. Automatic injection is opt-in.,B'mod awtomatiku Ichiban jirrendi tags biss meta l-mudell tiegħek joħroġ $page->seo. L-injezzjoni awtomatika hija opt-in.,,site/modules/Ichiban/Ichiban.module.php,fb1b9b3b0133275b95ccaf96bd704d4a
Automatically inject SEO tags into page <head>,Injetta awtomatikament it-tikketti SEO fil-paġna <head>,,site/modules/Ichiban/Ichiban.module.php,55e90fc94d051339268c8cea22d211ff
Enable only if your templates do not output $page->seo.,Ippermetti biss jekk il-mudelli tiegħek ma joħorġux $page->seo.,,site/modules/Ichiban/Ichiban.module.php,83d3719feac098415326b3ef32ef1fb2
Title Format,Format tat-Titolu,,site/modules/Ichiban/Ichiban.module.php,0c21f0be6bc0d9e2fa13c59acfa65223
