en,pl,description,file,hash
Notes,Notatki,,site/modules/Ichiban/Ichiban.module.php,f4c6f851b00d5518bf888815de279aba
Identity,Tożsamość,,site/modules/Ichiban/Ichiban.module.php,c9c5c65fb4af9cf90eb99b3b84424189
Used for Organization/Person JSON-LD and sameAs profile links. Leave fields empty if the identity node should stay minimal.,"Używane w przypadku łączy do profili organizacji/osoby JSON-LD i sameAs. Pozostaw pola puste, jeśli węzeł tożsamości powinien pozostać minimalny.",,site/modules/Ichiban/Ichiban.module.php,cde2ad3993452d48164bac03fd7ff2ea
Defaults,Domyślne,,site/modules/Ichiban/Ichiban.module.php,0aabf727ab0a83c5f5d078e8b18445e0
"JSON defaults are resolved before page-level values. Use field:title, field:summary|truncate:160, custom text, or inherit.","Wartości domyślne JSON są rozpoznawane przed wartościami na poziomie strony. Użyj pola:tytuł, pole:podsumowanie|truncate:160, własny tekst lub dziedzicz.",,site/modules/Ichiban/Ichiban.module.php,33bdc3ae43a21121f7dce26d5197dd44
Global defaults JSON,Globalne wartości domyślne JSON,,site/modules/Ichiban/Ichiban.module.php,53e3b5312941b09573dc3f9186159072
Template defaults JSON,Domyślne szablony JSON,,site/modules/Ichiban/Ichiban.module.php,5115e3fe37e3ad25f334f010f8c5b38e
"Use typed source values like field:title, field:summary|truncate:160, custom text, or inherit.","Użyj wpisanych wartości źródłowych, takich jak pole:tytuł, pole:podsumowanie|truncate:160, tekst niestandardowy lub dziedziczenie.",,site/modules/Ichiban/Ichiban.module.php,82ccb8f28eb5731a03cf696ad3f72648
Rendering,Renderowanie,,site/modules/Ichiban/Ichiban.module.php,a6e8f9aed2ac6481dc25a18a33342d03
By default Ichiban only renders tags when your template outputs $page->seo. Automatic injection is opt-in.,"Domyślnie Ichiban renderuje znaczniki tylko wtedy, gdy Twój szablon generuje $page->seo. Automatyczny zastrzyk jest opcjonalny.",,site/modules/Ichiban/Ichiban.module.php,fb1b9b3b0133275b95ccaf96bd704d4a
Automatically inject SEO tags into page <head>,Automatycznie wstawiaj tagi SEO na stronę <head>,,site/modules/Ichiban/Ichiban.module.php,55e90fc94d051339268c8cea22d211ff
Enable only if your templates do not output $page->seo.,"Włącz tylko wtedy, gdy Twoje szablony nie generują sygnału $page->seo.",,site/modules/Ichiban/Ichiban.module.php,83d3719feac098415326b3ef32ef1fb2
Title Format,Format tytułu,,site/modules/Ichiban/Ichiban.module.php,0c21f0be6bc0d9e2fa13c59acfa65223
"Optionally format the rendered <title>. Use {meta_title} for the resolved page title, for example {meta_title} | {site_name}. Leave blank to render the title unchanged.","Opcjonalnie sformatuj renderowany plik <title>. Użyj {meta_title} dla rozpoznanego tytułu strony, na przykład {meta_title} | {site_name}. Pozostaw puste, aby tytuł nie uległ zmianie.",,site/modules/Ichiban/Ichiban.module.php,9d60b7ae07e266ce90621e229f337618
"Supported placeholders: {meta_title}, {site_name}, {entity_name}, {host}. Title length checks include this format.","Obsługiwane symbole zastępcze: {meta_title}, {site_name}, {entity_name}, {host}. Sprawdzanie długości tytułu obejmuje ten format.",,site/modules/Ichiban/Ichiban.module.php,08debe1ddbe5e86837f27f89a8b4c15d
Render hreflang alternate links,Renderuj alternatywne linki do hreflang,,site/modules/Ichiban/Ichiban.module.php,dd27ad837fa55751efc91ce4322806d2
Disable this when ProcessWire languages are used internally but the public site should not advertise language alternates.,"Wyłącz tę opcję, jeśli języki ProcessWire są używane wewnętrznie, ale witryna publiczna nie powinna reklamować alternatywnych języków.",,site/modules/Ichiban/Ichiban.module.php,a0f50a879725bc755d76fcc71dbebc9c
