en,ro,description,file,hash
Notes,Note,,site/modules/Ichiban/Ichiban.module.php,f4c6f851b00d5518bf888815de279aba
Website & Identity,Site-ul și identitatea,,site/modules/Ichiban/Ichiban.module.php,5f31fa0e425153f2d3ecb9c2d7f21a2d
Moved to Website,Mutat pe site,,site/modules/Ichiban/Ichiban.module.php,4e16d56399d1c0e0725c995fa6414179
"Brand, contact, social profile, and Schema.org identity settings now live in the Website tab so global site facts are edited in one place.","Setările de marcă, de contact, de profil social și de identitate Schema.org se află acum în fila Site web, astfel încât informațiile globale ale site-ului sunt editate într-un singur loc.",,site/modules/Ichiban/Ichiban.module.php,b3c2c2c1cba8d3fb26eef538c43b65ea
Open Website Settings,Deschide Setări site,,site/modules/Ichiban/Ichiban.module.php,3e23181983fd8c730ed855214f9ccd9e
Defaults,Valori implicite,,site/modules/Ichiban/Ichiban.module.php,0aabf727ab0a83c5f5d078e8b18445e0
"JSON defaults are resolved before page-level values. Use field:title, field:summary|truncate:160, custom text, or inherit.","Valorile implicite JSON sunt rezolvate înaintea valorilor la nivel de pagină. Folosiți field:title, field:summary|truncate:160, text personalizat sau moștenire.",,site/modules/Ichiban/Ichiban.module.php,33bdc3ae43a21121f7dce26d5197dd44
Global defaults JSON,Valori implicite globale JSON,,site/modules/Ichiban/Ichiban.module.php,53e3b5312941b09573dc3f9186159072
Template defaults JSON,Șablonul este implicit JSON,,site/modules/Ichiban/Ichiban.module.php,5115e3fe37e3ad25f334f010f8c5b38e
"Use typed source values like field:title, field:summary|truncate:160, custom text, or inherit.","Folosiți valori sursă tastate, cum ar fi field:title, field:summary|truncate:160, text personalizat sau moștenire.",,site/modules/Ichiban/Ichiban.module.php,82ccb8f28eb5731a03cf696ad3f72648
Rendering,Redare,,site/modules/Ichiban/Ichiban.module.php,a6e8f9aed2ac6481dc25a18a33342d03
By default Ichiban only renders tags when your template outputs $page->seo. Automatic injection is opt-in.,"În mod implicit, Ichiban redă etichete numai atunci când șablonul dvs. scoate $page->seo. Injecția automată este opt-in.",,site/modules/Ichiban/Ichiban.module.php,fb1b9b3b0133275b95ccaf96bd704d4a
Automatically inject SEO tags into page <head>,Injectați automat etichete SEO în pagina <head>,,site/modules/Ichiban/Ichiban.module.php,55e90fc94d051339268c8cea22d211ff
Enable only if your templates do not output $page->seo.,Activați numai dacă șabloanele dvs. nu scot $page->seo.,,site/modules/Ichiban/Ichiban.module.php,83d3719feac098415326b3ef32ef1fb2
Title Format,Formatul titlului,,site/modules/Ichiban/Ichiban.module.php,0c21f0be6bc0d9e2fa13c59acfa65223
"Optionally format the rendered <title>. Use {meta_title} for the resolved page title, for example {meta_title} | {site_name}. Leave blank to render the title unchanged.","Opțional, formatați <title> redat. Utilizați {meta_title} pentru titlul paginii rezolvate, de exemplu {meta_title} | {site_name}. Lăsați necompletat pentru ca titlul să fie neschimbat.",,site/modules/Ichiban/Ichiban.module.php,9d60b7ae07e266ce90621e229f337618
"Supported placeholders: {meta_title}, {site_name}, {entity_name}, {host}. Title length checks include this format.","Substituenți acceptați: {meta_title}, {site_name}, {entity_name}, {host}. Verificările privind lungimea titlului includ acest format.",,site/modules/Ichiban/Ichiban.module.php,08debe1ddbe5e86837f27f89a8b4c15d
Render hreflang alternate links,Afișează link-uri alternative hreflang,,site/modules/Ichiban/Ichiban.module.php,dd27ad837fa55751efc91ce4322806d2
Disable this when ProcessWire languages are used internally but the public site should not advertise language alternates.,"Dezactivați această opțiune atunci când limbile ProcessWire sunt utilizate intern, dar site-ul public nu ar trebui să facă publicitate alternativelor de limbă.",,site/modules/Ichiban/Ichiban.module.php,a0f50a879725bc755d76fcc71dbebc9c
Render JSON-LD schema,Redați schema JSON-LD,,site/modules/Ichiban/Ichiban.module.php,093f286865020e6e4762d54b968f4e18
Disable this when templates or another module generate custom structured data.,Dezactivați această opțiune când șabloanele sau alt modul generează date structurate personalizate.,,site/modules/Ichiban/Ichiban.module.php,4c61b25b55b63f2ab8fa34b40ae0d612
Webmaster Verification,Verificare webmaster,,site/modules/Ichiban/Ichiban.module.php,e16aace7feb4c4c815b9f9acbf072815
Verification tags and Meta Pixel are rendered on the home page only. Google Search Console verification is intentionally omitted here because current Google setup should use DNS TXT or CNAME verification.,"Etichetele de verificare și Meta Pixel sunt redate numai pe pagina de pornire. Verificarea Google Search Console este omisă în mod intenționat aici, deoarece configurația actuală Google ar trebui să utilizeze verificarea DNS TXT sau CNAME.",,site/modules/Ichiban/Ichiban.module.php,a9c50cdbf2ad228624b2017ab78c7438
"Microsoft Bing, Yahoo, and DuckDuckGo visibility often starts from Bing Webmaster Tools.","Vizibilitatea Microsoft Bing, Yahoo și DuckDuckGo începe adesea de la Bing Webmaster Tools.",,site/modules/Ichiban/Ichiban.module.php,fbe1774e9a77f9f92b4b96bf4c64585a
Yandex meta verification token.,Token de verificare meta Yandex.,,site/modules/Ichiban/Ichiban.module.php,76f540135e80a474de70e3583a54dc45
China: renders baidu-site-verification meta tag.,China: redă metaeticheta baidu-site-verification.,,site/modules/Ichiban/Ichiban.module.php,a95ed1f87dde1518d8b49008ebb77dbb
China: renders sogou_site_verification meta tag.,China: redă metaeticheta sogou_site_verification.,,site/modules/Ichiban/Ichiban.module.php,9d4aa8d584f94eac913b6201afac6730
China: renders 360-site-verification meta tag.,China: redă metaetichetă 360-site-verification.,,site/modules/Ichiban/Ichiban.module.php,d0a0430a9f737934f21aa4303c7edab1
Pinterest domain verification token.,Indicativ de verificare a domeniului Pinterest.,,site/modules/Ichiban/Ichiban.module.php,eacbd24ca94cad724c6f391d472638ba
Meta domain verification token.,Token de verificare metadomeniu.,,site/modules/Ichiban/Ichiban.module.php,db13ec584f9633e6751535d17824e79e
Numeric Pixel ID. Renders the standard PageView pixel on the home page.,ID numeric pixel. Redă pixelul standard PageView pe pagina de pornire.,,site/modules/Ichiban/Ichiban.module.php,9219a1dab2e3eebf88becf2f14e80d01
Additional verification meta tags,Metaetichete suplimentare de verificare,,site/modules/Ichiban/Ichiban.module.php,e7d88f3cf0b8b671959e10fe014e8fd2
One per line as meta-name=token. Use for regional tools that provide a meta verification tag.,Unul pe linie ca meta-name=token. Utilizați pentru instrumente regionale care oferă o etichetă de meta verificare.,,site/modules/Ichiban/Ichiban.module.php,76f0c578ce00ff37d7e990f91b0953d3
Example: example-site-verification=abc123. Only simple meta names are rendered.,Exemplu: example-site-verification=abc123. Sunt redate doar meta nume simple.,,site/modules/Ichiban/Ichiban.module.php,3cd39c0bf9c68bf909c01310e7dfa0ef
Google Search Console,Google Search Console,,site/modules/Ichiban/Ichiban.module.php,4243784eac7728b8e6339bdafe240e01
"Enable the Google Search Console API, create an OAuth Web application client, add this authorized redirect URI: %s, publish the OAuth app to production, then paste the Client ID and Client Secret below. Existing tokens are preserved when settings are saved.","Activați Google Search Console API, creați un client de aplicație web OAuth, adăugați acest URI de redirecționare autorizat: %s, publicați aplicația OAuth în producție, apoi inserați ID-ul clientului și Secretul clientului de mai jos. Jetoanele existente sunt păstrate atunci când setările sunt salvate.",,site/modules/Ichiban/Ichiban.module.php,43a85ff63755f87a7ccd5056ba6c38c6
Connection status,Starea conexiunii,,site/modules/Ichiban/Ichiban.module.php,1714ef7e843e7735ce68bebe872f33e5
Access token expires %s.,Jetonul de acces expiră %s.,,site/modules/Ichiban/Ichiban.module.php,ba85dd89d299ed46b9c8a5948542f99c
Access token expired; refresh token is saved.,Jetonul de acces a expirat; jetonul de reîmprospătare este salvat.,,site/modules/Ichiban/Ichiban.module.php,f3802e32cd6d09d7c1af945c4f5943d6
Client ID saved,ID-ul clientului a fost salvat,,site/modules/Ichiban/Ichiban.module.php,1de31a3258bc607d52b41ee216c7d72f
Client Secret saved,Secretul clientului a fost salvat,,site/modules/Ichiban/Ichiban.module.php,42b44c19ef8327c019c9ad9f78d67aee
Google account connected,Cont Google conectat,,site/modules/Ichiban/Ichiban.module.php,d760203bbcc492353c8b31b14d9ffbf7
Open Insights,Deschideți Perspective,,site/modules/Ichiban/Ichiban.module.php,7f1baa2a21ced2b2e130215f4bafd5f4
"Enter the Search Console domain, for example lqrs.uk. Ichiban will query it as a Domain property. You can still enter a URL-prefix property like https://example.com/ when needed.","Introduceți domeniul Search Console, de exemplu lqrs.uk. Ichiban îl va interoga ca proprietate de domeniu. Puteți introduce în continuare o proprietate de prefix URL, cum ar fi https://example.com/, atunci când este necesar.",,site/modules/Ichiban/Ichiban.module.php,239ee60095ca0138f335744cf3894216
Examples: lqrs.uk or https://example.com/,Exemple: lqrs.uk sau https://example.com/,,site/modules/Ichiban/Ichiban.module.php,c5841c295217e694ae9814ae1de70f4e
Backlinks / Moz API,Backlink-uri / Moz API,,site/modules/Ichiban/Ichiban.module.php,148a3c9e93041db9e3a92077aa62487a
"Moz Links API is used by the Backlinks section for inbound links, linking root domains, and anchor text. Use the new Moz API token when possible; legacy Access ID and Secret Key are only a fallback. Start with a small row limit to control monthly usage.","Moz Link-uri API este folosit de secțiunea Backlink-uri pentru link-uri de intrare, link-uri domenii rădăcină și text ancora. Folosiți noul token Moz API atunci când este posibil; ID-ul de acces moștenit și cheia secretă sunt doar o rezervă. Începeți cu o limită mică de rânduri pentru a controla utilizarea lunară.",,site/modules/Ichiban/Ichiban.module.php,3934fe34546dadc9006bc189343d76f2
Default target,Țintă implicită,,site/modules/Ichiban/Ichiban.module.php,b9fa8d034ac4e37eaf215fe66737b851
Moz API token,Jeton Moz API,,site/modules/Ichiban/Ichiban.module.php,607e064d5ce603ed00fcaf852c19c94b
Legacy Moz Access ID,ID de acces vechi Moz,,site/modules/Ichiban/Ichiban.module.php,9b8ce27d60235026df35f7d5cbca4530
Legacy Moz Secret Key,Cheie secretă moștenită Moz,,site/modules/Ichiban/Ichiban.module.php,c8ee8763358100831a05c85657874e72
Moz API base URL,Moz API bază URL,,site/modules/Ichiban/Ichiban.module.php,3a6253c05602eb8d3bd204c6116b429d
Rows per request,Rânduri pe cerere,,site/modules/Ichiban/Ichiban.module.php,ad470cb6dbb8dc939f06c96e7b0ab4fb
Used by the Backlinks preview tables.,Folosit de tabelele de previzualizare Backlinks.,,site/modules/Ichiban/Ichiban.module.php,7c7dd953919a36c2613a5cbdb05ce96c
Timeout (sec),Timeout (sec),,site/modules/Ichiban/Ichiban.module.php,ef8e3c27bc823b5dcf6164fb9f2823de
AI / Squad,AI/Echipă,,site/modules/Ichiban/Ichiban.module.php,c7c967fe29ea975b52a568677d80d368
Ichiban uses Squad as the shared AI gateway. Configure provider keys in Squad; use these settings only for Ichiban request defaults and SEO-specific prompts.,Ichiban folosește Squad ca gateway AI partajat. Configurați cheile furnizorului în Squad; utilizați aceste setări numai pentru solicitările implicite Ichiban și solicitările specifice SEO.,,site/modules/Ichiban/Ichiban.module.php,b3a60431fd7be7126e428a28f3bb08e5
Squad connection,Conexiune la echipă,,site/modules/Ichiban/Ichiban.module.php,ce0a6805ed97e495b3871f250b469549
Squad is installed. Active providers: %s.,Squad este instalat. Furnizori activi: %s.,,site/modules/Ichiban/Ichiban.module.php,943cdceb5161ec2aaa0c8b7240c88ff5
Open Squad settings,Deschideți setările echipei,,site/modules/Ichiban/Ichiban.module.php,e5e25695970de11c7acbf3f901b7e249
Squad is not installed. Install and configure Squad before running Ichiban AI requests.,Squad nu este instalat. Instalați și configurați Squad înainte de a rula solicitările Ichiban AI.,,site/modules/Ichiban/Ichiban.module.php,1fd298f8ed650af1f1c7391b249df142
Provider override,Suprascrierea furnizorului,,site/modules/Ichiban/Ichiban.module.php,c8b66ad23c12655d32b6e9b14a5d32fd
Leave empty to use the default provider selected in Squad.,Lăsați necompletat pentru a utiliza furnizorul implicit selectat în Squad.,,site/modules/Ichiban/Ichiban.module.php,9c3aac1cd9f9352d12af87ccb7e38fb2
Squad default,Echipa implicită,,site/modules/Ichiban/Ichiban.module.php,379df8c2ecca7f514c9cf71e7f215a34
Model override,Anularea modelului,,site/modules/Ichiban/Ichiban.module.php,a90e17a4e9375a72a438a44c0a43e661
Optional. Leave empty to use the model configured on the active Squad key.,Opțional. Lăsați gol pentru a utiliza modelul configurat pe tasta Squad activă.,,site/modules/Ichiban/Ichiban.module.php,d46e25bd96a117a8661e6f8ffbb7fdad
Use a model ID supported by the selected Squad provider.,Utilizați un ID de model acceptat de furnizorul Squad selectat.,,site/modules/Ichiban/Ichiban.module.php,72d95b32af7e034bf92d02c480624d80
Max tokens,Max jetoane,,site/modules/Ichiban/Ichiban.module.php,ebd6c027329f58c7a56ddb68035e623a
Temperature,Temperatura,,site/modules/Ichiban/Ichiban.module.php,ee7a8e262285ed49ea1b4e4ae11525bd
"0 = deterministic, 1 = more creative.","0 = determinist, 1 = mai creativ.",,site/modules/Ichiban/Ichiban.module.php,e9c19aa21f310410427aed8cf273ee5e
Global system prompt,prompt de sistem global,,site/modules/Ichiban/Ichiban.module.php,dc80dfae1022d8c1f3a4424589c3947f
Prepended to Ichiban AI requests before the mode-specific SEO prompt.,Adăugată la solicitările Ichiban AI înainte de promptul SEO specific modului.,,site/modules/Ichiban/Ichiban.module.php,ba50ae3d4e25aaf8e9f96f1b12597d8a
You are a helpful SEO assistant for ProcessWire websites.,Sunteți un asistent SEO util pentru site-urile web ProcessWire.,,site/modules/Ichiban/Ichiban.module.php,75146a303e87f5716fce1a6a506185cf
Publishing & URLs,Publicare și URLs,,site/modules/Ichiban/Ichiban.module.php,86c81580cb61ca8b8b36e1eb8791e413
"IndexNow keys are simple verification strings, not keys from an account. Generate one here or use any 8-128 character key containing letters, numbers, and hyphens. A public key file named {key}.txt must exist at the site root and contain the key.","Cheile IndexNow sunt simple șiruri de verificare, nu chei dintr-un cont. Generați unul aici sau utilizați orice tastă de 8-128 de caractere care conține litere, cifre și cratime. Un fișier cu cheie publică numit {key}.txt trebuie să existe la rădăcina site-ului și să conțină cheia.",,site/modules/Ichiban/Ichiban.module.php,6ba02b19032039de34d471bc54d181ad
Current key file URL: %s,Fișierul cheie curent URL: %s,,site/modules/Ichiban/Ichiban.module.php,f3fa4b8b953f520859f0c214f66d9bae
Index Now API Key,Indexați acum Cheia API,,site/modules/Ichiban/Ichiban.module.php,cf092d7f265535840a7191bfcde56ce6
Used when Ichiban pings IndexNow after a public page is saved.,Folosit când Ichiban dă ping pe IndexNow după ce o pagină publică este salvată.,,site/modules/Ichiban/Ichiban.module.php,b84b5ee761e789d69ce9c7be24f60152
Click Save to write/update the public key file if the site root is writable.,Faceți clic pe Salvare pentru a scrie/actualiza fișierul cheie publică dacă rădăcina site-ului poate fi scrisă.,,site/modules/Ichiban/Ichiban.module.php,d41067de431a8f0e6afc4d55afe9a674
Twitter/X Site Handle (global default),Twitter/X Site Handle (prestabilit global),,site/modules/Ichiban/Ichiban.module.php,ad9fdbcb00b1dd7da69fbcdf723973f4
Example: @example,Exemplu: @example,,site/modules/Ichiban/Ichiban.module.php,554f29fd1e15440cc34dbaa8a1b3cadc
URL segments in SEO URLs,Segmente URL în SEO URLs,,site/modules/Ichiban/Ichiban.module.php,9556ac4044ecb6e06b7b429847b0a7ab
"Controls canonical, og:url, twitter:url, and hreflang on pages that use ProcessWire URL segments.","Controlează canonical, og:url, twitter:url și hreflang pe paginile care folosesc segmente ProcessWire URL.",,site/modules/Ichiban/Ichiban.module.php,17b32f4acfd38a4071740901071cc050
Preserve current URL segments,Păstrați segmentele URL actuale,,site/modules/Ichiban/Ichiban.module.php,83d8e9e795d8952cd83396209ba9a48f
Collapse to the page URL,Restrângeți pagina URL,,site/modules/Ichiban/Ichiban.module.php,fe2bdcd2792e9da25e6ea86d111b4c97
Updates,Actualizări,,site/modules/Ichiban/Ichiban.module.php,9ac41b6a577daadd588f0fcde0071e8b
"Dashboard update checks read GitHub releases and show a full-width banner when a newer Ichiban release exists. Installation is always manual, creates a local backup, and requires the ichiban-manage permission.","Verificările actualizării tabloului de bord citesc versiunile GitHub și afișează un banner cu lățime completă atunci când există o versiune Ichiban mai nouă. Instalarea este întotdeauna manuală, creează o copie de rezervă locală și necesită permisiunea ichiban-manage.",,site/modules/Ichiban/Ichiban.module.php,aff8e95b534b9b42349290ab799cad8c
Check GitHub releases for updates,Verificați versiunile GitHub pentru actualizări,,site/modules/Ichiban/Ichiban.module.php,8af20990687a028b2f608d8ee6004a5d
Allow one-click update installation,Permiteți instalarea actualizării cu un singur clic,,site/modules/Ichiban/Ichiban.module.php,aba4539b0399a88c07f916c767c95b59
"When enabled, the Dashboard banner can download the latest release, back up the current module folder, and replace the module files.","Când este activat, bannerul Dashboard poate descărca cea mai recentă versiune, poate face copii de rezervă pentru folderul curent al modulului și poate înlocui fișierele modulului.",,site/modules/Ichiban/Ichiban.module.php,f57c1026974a3a1ab1585d9cd74550a3
Update channel,Actualizați canalul,,site/modules/Ichiban/Ichiban.module.php,224518815caec6dace24684b7bd877e8
Alpha / prerelease,Alpha / prelansare,,site/modules/Ichiban/Ichiban.module.php,525e2e5deda2a3dcdd20dc0338bbc4e1
Stable releases only,Doar versiuni stabile,,site/modules/Ichiban/Ichiban.module.php,22d41cb854c8a5bcc9a6e97c8cbb410d
GitHub repository,Depozitul GitHub,,site/modules/Ichiban/Ichiban.module.php,4a6c7893abd7ef92fb09d3359e17324d
Owner/repository used for release checks and downloads.,Proprietarul/depozitul folosit pentru verificări de lansare și descărcări.,,site/modules/Ichiban/Ichiban.module.php,35c9bc2b3b21d5920bee034405e4aec5
Sitemap,Harta site-ului,,site/modules/Ichiban/Ichiban.module.php,5813ce0ec7196c492c97596718f71969
Public index: %s. Use the Sitemap tab for generation status and manual actions.,Index public: %s. Utilizați fila Sitemap pentru starea generării și acțiunile manuale.,,site/modules/Ichiban/Ichiban.module.php,55b9475f53a07c7d5196f4c71a398dbb
Enable XML sitemap,Activați harta site-ului XML,,site/modules/Ichiban/Ichiban.module.php,569a85acaf40ac1f92443e0decb42c95
Sitemap directory,Director Sitemap,,site/modules/Ichiban/Ichiban.module.php,b0f475614b773ce993fe45c9ef8b6329
Relative to the ProcessWire web root.,Relativ la rădăcina web ProcessWire.,,site/modules/Ichiban/Ichiban.module.php,ba69c62563d8fcaa5bc70e618ad9686c
URLs per file,URLs per fișier,,site/modules/Ichiban/Ichiban.module.php,ae11a7f6039f458bb3417a74af2a2a22
Respect noindex,Respect noindex,,site/modules/Ichiban/Ichiban.module.php,42daa8924f722774b292a26353574ae1
Include hidden pages,Includeți pagini ascunse,,site/modules/Ichiban/Ichiban.module.php,42fdbb35b46ad8e66130cc690f8d2e84
Include unpublished pages,Includeți pagini nepublicate,,site/modules/Ichiban/Ichiban.module.php,f10bf91385c456e865e24520b8c3249a
Include image entries,Includeți intrări de imagine,,site/modules/Ichiban/Ichiban.module.php,bae90c7f5f8ba4caf46f4d33748af032
Include hreflang alternates,Includeți alternativele hreflang,,site/modules/Ichiban/Ichiban.module.php,a3f0a766c142dca615feb89b2fcf8e4f
Auto-regenerate with LazyCron,Regenerați automat cu LazyCron,,site/modules/Ichiban/Ichiban.module.php,f395869cfdc0ad94b539257b0822f0b9
Default priority,Prioritate implicită,,site/modules/Ichiban/Ichiban.module.php,1ebbf846450960ea27ce5d8a47e2ee28
Default change frequency,Frecvența de schimbare implicită,,site/modules/Ichiban/Ichiban.module.php,7c7455bca9481ec96e91524395bd37a6
