en,sl,description,file,hash
Notes,Opombe,,site/modules/Ichiban/Ichiban.module.php,f4c6f851b00d5518bf888815de279aba
Identity,Identiteta,,site/modules/Ichiban/Ichiban.module.php,c9c5c65fb4af9cf90eb99b3b84424189
Used for Organization/Person JSON-LD and sameAs profile links. Leave fields empty if the identity node should stay minimal.,"Uporablja se za povezave do profila organizacije/osebe JSON-LD in sameAs. Pustite polja prazna, če naj bo vozlišče identitete minimalno.",,site/modules/Ichiban/Ichiban.module.php,cde2ad3993452d48164bac03fd7ff2ea
Defaults,Privzete nastavitve,,site/modules/Ichiban/Ichiban.module.php,0aabf727ab0a83c5f5d078e8b18445e0
"JSON defaults are resolved before page-level values. Use field:title, field:summary|truncate:160, custom text, or inherit.","Privzete vrednosti JSON so razrešene pred vrednostmi na ravni strani. Uporabite field:title, field:summary|truncate:160, besedilo po meri ali dedovanje.",,site/modules/Ichiban/Ichiban.module.php,33bdc3ae43a21121f7dce26d5197dd44
Global defaults JSON,Globalne privzete vrednosti JSON,,site/modules/Ichiban/Ichiban.module.php,53e3b5312941b09573dc3f9186159072
Template defaults JSON,Privzete vrednosti predloge JSON,,site/modules/Ichiban/Ichiban.module.php,5115e3fe37e3ad25f334f010f8c5b38e
"Use typed source values like field:title, field:summary|truncate:160, custom text, or inherit.","Uporabite vnesene izvorne vrednosti, kot so field:title, field:summary|truncate:160, besedilo po meri ali podedovanje.",,site/modules/Ichiban/Ichiban.module.php,82ccb8f28eb5731a03cf696ad3f72648
Rendering,Upodabljanje,,site/modules/Ichiban/Ichiban.module.php,a6e8f9aed2ac6481dc25a18a33342d03
By default Ichiban only renders tags when your template outputs $page->seo. Automatic injection is opt-in.,"Ichiban privzeto upodobi oznake le, ko vaša predloga izpiše $page->seo. Samodejno vbrizgavanje je opt-in.",,site/modules/Ichiban/Ichiban.module.php,fb1b9b3b0133275b95ccaf96bd704d4a
Automatically inject SEO tags into page <head>,Samodejno vstavite oznake SEO na stran <head>,,site/modules/Ichiban/Ichiban.module.php,55e90fc94d051339268c8cea22d211ff
Enable only if your templates do not output $page->seo.,"Omogočite le, če vaše predloge ne izpišejo $page->seo.",,site/modules/Ichiban/Ichiban.module.php,83d3719feac098415326b3ef32ef1fb2
