en,uk,description,file,hash
Notes,Примітки,,site/modules/Ichiban/Ichiban.module.php,f4c6f851b00d5518bf888815de279aba
Website & Identity,Веб-сайт і ідентифікація,,site/modules/Ichiban/Ichiban.module.php,5f31fa0e425153f2d3ecb9c2d7f21a2d
Moved to Website,Перенесено на веб-сайт,,site/modules/Ichiban/Ichiban.module.php,4e16d56399d1c0e0725c995fa6414179
"Brand, contact, social profile, and Schema.org identity settings now live in the Website tab so global site facts are edited in one place.","Налаштування бренду, контакту, соціального профілю та ідентифікаційної інформації Schema.org тепер доступні на вкладці «Веб-сайт», тож глобальні факти сайту редагуються в одному місці.",,site/modules/Ichiban/Ichiban.module.php,b3c2c2c1cba8d3fb26eef538c43b65ea
Open Website Settings,Відкрийте налаштування веб-сайту,,site/modules/Ichiban/Ichiban.module.php,3e23181983fd8c730ed855214f9ccd9e
Defaults,За замовчуванням,,site/modules/Ichiban/Ichiban.module.php,0aabf727ab0a83c5f5d078e8b18445e0
"JSON defaults are resolved before page-level values. Use field:title, field:summary|truncate:160, custom text, or inherit.","Значення за замовчуванням JSON вирішуються перед значеннями на рівні сторінки. Використовуйте field:title, field:summary|truncate:160, спеціальний текст або успадковуйте.",,site/modules/Ichiban/Ichiban.module.php,33bdc3ae43a21121f7dce26d5197dd44
Global defaults JSON,Глобальні значення за замовчуванням JSON,,site/modules/Ichiban/Ichiban.module.php,53e3b5312941b09573dc3f9186159072
Template defaults JSON,Стандартні значення шаблону JSON,,site/modules/Ichiban/Ichiban.module.php,5115e3fe37e3ad25f334f010f8c5b38e
"Use typed source values like field:title, field:summary|truncate:160, custom text, or inherit.","Використовуйте введені вихідні значення, такі як field:title, field:summary|truncate:160, спеціальний текст або inherit.",,site/modules/Ichiban/Ichiban.module.php,82ccb8f28eb5731a03cf696ad3f72648
Rendering,Візуалізація,,site/modules/Ichiban/Ichiban.module.php,a6e8f9aed2ac6481dc25a18a33342d03
By default Ichiban only renders tags when your template outputs $page->seo. Automatic injection is opt-in.,"За замовчуванням Ichiban відображає лише теги, коли ваш шаблон виводить $page->seo. Автоматичне впорскування доступне.",,site/modules/Ichiban/Ichiban.module.php,fb1b9b3b0133275b95ccaf96bd704d4a
Automatically inject SEO tags into page <head>,Автоматично додавати теги SEO на сторінку <head>,,site/modules/Ichiban/Ichiban.module.php,55e90fc94d051339268c8cea22d211ff
Enable only if your templates do not output $page->seo.,"Увімкніть, лише якщо ваші шаблони не виводять $page->seo.",,site/modules/Ichiban/Ichiban.module.php,83d3719feac098415326b3ef32ef1fb2
Title Format,Формат заголовка,,site/modules/Ichiban/Ichiban.module.php,0c21f0be6bc0d9e2fa13c59acfa65223
"Optionally format the rendered <title>. Use {meta_title} for the resolved page title, for example {meta_title} | {site_name}. Leave blank to render the title unchanged.","За бажанням відформатуйте відтворений <title>. Використовуйте {meta_title} для вирішеної назви сторінки, наприклад {meta_title} | {site_name}. Залиште поле порожнім, щоб заголовок залишився без змін.",,site/modules/Ichiban/Ichiban.module.php,9d60b7ae07e266ce90621e229f337618
